id	url	source	notes
1076	https://www.amazon.jobs/en/jobs/10504886/icqa-area-manager-ii	pipeline	Amazon.com Services LLC | ICQA Area Manager II | Richmond, Texas, USA
1077	https://www.amazon.jobs/en/jobs/10505103/manufacturing-supply-chain-tech-lead-manufacturing-supply-chain-center-of-excellence-awsi-automotive-manufacturing	pipeline	Amazon Web Services, Inc. | Manufacturing & Supply Chain Tech Lead, Manufacturing & Supply Chain Center of Excellence, AWSI - Automotive & Manufacturing | Austin, Texas, USA
1078	https://www.amazon.jobs/en/jobs/10503893/procore-administrator-business-analyst-worldwide-grocery-stores-growth-development	pipeline	Amazon.com Services LLC | Procore Administrator, Business Analyst, Worldwide Grocery Stores - Growth & Development | Austin, Texas, USA
1079	https://www.amazon.jobs/en/jobs/10505465/it-support-associate-ops-tech-solutions-ots	pipeline	Amazon.com Services LLC | IT support Associate, Ops Tech Solutions (OTS) | Romeoville, Illinois, USA
1080	https://www.amazon.jobs/en/jobs/10507078/operations-engineer-ges-na-ops-engineering-execution	pipeline	Amazon.com Services LLC | Operations Engineer, GES NA Ops Engineering Execution | Arlington, Virginia, USA
