id	url	source	notes
1059	https://www.amazon.jobs/en/jobs/10505776/applied-scientist-amazon-supply-chain	pipeline	Amazon Web Services, Inc. | Applied Scientist, Amazon Supply Chain | Seattle, Washington, USA
1071	https://www.amazon.jobs/en/jobs/10505463/solutions-architect-agentic-workspaces-ai	pipeline	Amazon Web Services, Inc. | Solutions Architect — Agentic WorkSpaces AI | Arlington, Virginia, USA
1072	https://www.amazon.jobs/en/jobs/10505559/solutions-architect-wwps-state-and-local-government-higher-education	pipeline	Amazon Web Services, Inc. | Solutions Architect, WWPS, State and Local Government & Higher Education | New York, New York, USA
