id	url	source	notes
1005	https://jobs.managementconsulted.com/jobs/549030681-strategy-insights-planning-consultant-launch-strategy-operations	managementconsulted	Zs | Strategy Insights & Planning Consultant – Launch Strategy & Operations | Boston, MA, US
1022	https://www.amazon.jobs/en/jobs/10502020/operations-manager-waukegan-il	amazon	Amazon.com Services LLC | Operations Manager - Waukegan, IL | Waukegan, Illinois, USA | posted: 2026-08-14
1023	https://www.amazon.jobs/en/jobs/10501857/strategy-operations-lead-generative-ai-innovation-centre-proserve-business-strategy	amazon	Amazon Web Services, Inc. | Strategy & Operations Lead, Generative AI Innovation Centre , ProServe Business Strategy | Seattle, Washington, USA | posted: 2026-08-14
1044	https://www.hubspot.com/careers/jobs/7453082?gh_jid=7453082	pipeline	HubSpot | Deal Lead, Corporate Development | Remote - USA
1059	https://www.amazon.jobs/en/jobs/10505776/applied-scientist-amazon-supply-chain	pipeline	Amazon Web Services, Inc. | Applied Scientist, Amazon Supply Chain | Seattle, Washington, USA
1072	https://www.amazon.jobs/en/jobs/10505559/solutions-architect-wwps-state-and-local-government-higher-education	pipeline	Amazon Web Services, Inc. | Solutions Architect, WWPS, State and Local Government & Higher Education | New York, New York, USA
1084	https://www.amazon.jobs/en/jobs/10503734/pr-delivery-consultant-data-worldwide-public-sector-professional-services-health-care-life-sciences	pipeline	Amazon Web Services, Inc. | Pr. Delivery Consultant - Data, Worldwide Public Sector Professional Services, Health Care Life Sciences | Arlington, Virginia, USA
